%time x_sig v_sig adc_sig k_sig
0.01481 -1.07381884237e-05 -0.0387047414545 -7 6
0.01482 -1.10820529711e-05 -0.0343864547388 -7 6
0.01483 -1.1377311702e-05 -0.0295258730905 -6 6
0.01484 -1.16193082099e-05 -0.0241996507856 -5 6
0.01485 -1.18042260652e-05 -0.0184917855317 -4 6
0.01486 -1.19291490029e-05 -0.0124922937734 -2 6
0.01487 -1.19921069137e-05 -0.00629579107983 -1 6
0.01488 -1.19921069137e-05 3.38813178902e-16 0 6
0.01489 -1.19291490029e-05 0.00629579107983 1 6
0.0149 -1.18042260652e-05 0.0124922937734 2 6
0.01491 -1.16193082099e-05 0.0184917855317 4 6
0.01492 -1.1377311702e-05 0.0241996507856 5 6
0.01493 -1.10820529711e-05 0.0295258730905 6 6
0.01494 -1.07381884237e-05 0.0343864547388 7 6
0.01495 -1.03511410092e-05 0.0387047414545 7 6
0.01496 -9.92701469641e-06 0.0424126312763 8 6
0.01497 -9.47249821074e-06 0.0454516485668 9 6
0.01498 -8.99475954866e-06 0.0477738662079 9 6
0.01499 -8.50133293426e-06 0.0493426614402 9 6
0.015 -8e-06 0.0501332934257 10 6
0.01501 -7.49866706574e-06 0.0501332934257 10 6
0.01502 -7.00524045134e-06 0.0493426614402 9 6
0.01503 -6.52750178926e-06 0.0477738662079 9 6
0.01504 -6.07298530359e-06 0.0454516485668 9 6
0.01505 -5.64885899083e-06 0.0424126312763 8 6
0.01506 -5.26181157629e-06 0.0387047414545 7 6
0.01507 -4.9179470289e-06 0.0343864547388 7 6
0.01508 -4.62268829799e-06 0.0295258730905 6 6
0.01509 -4.38069179014e-06 0.0241996507856 5 6
0.0151 -4.19577393482e-06 0.0184917855317 4 6
0.01511 -4.07085099709e-06 0.0124922937734 2 6
0.01512 -4.00789308629e-06 0.00629579107983 1 6
0.01513 -4.00789308629e-06 -3.38813178902e-16 0 6
0.01514 -4.07085099709e-06 -0.00629579107983 -1 6
0.01515 -4.19577393482e-06 -0.0124922937734 -2 6
0.01516 -4.38069179014e-06 -0.0184917855317 -4 6
0.01517 -4.62268829799e-06 -0.0241996507856 -5 6
0.01518 -4.9179470289e-06 -0.0295258730905 -6 6
0.01519 -5.26181157629e-06 -0.0343864547388 -7 6
0.0152 -5.64885899083e-06 -0.0387047414545 -7 6
0.01521 -6.07298530359e-06 -0.0424126312763 -8 6
0.01522 -6.52750178926e-06 -0.0454516485668 -9 6
0.01523 -7.00524045134e-06 -0.0477738662079 -9 6
0.01524 -7.49866706574e-06 -0.0493426614402 -9 6
0.01525 -8e-06 -0.0501332934257 -10 6
0.01526 -8.50133293426e-06 -0.0501332934257 -10 6
0.01527 -8.99475954866e-06 -0.0493426614402 -9 6
0.01528 -9.47249821074e-06 -0.0477738662079 -9 6
0.01529 -9.92701469641e-06 -0.0454516485668 -9 6
0.0153 -1.03511410092e-05 -0.0424126312763 -8 6
0.01531 -1.07381884237e-05 -0.0387047414545 -7 6
0.01532 -1.10820529711e-05 -0.0343864547388 -7 6
0.01533 -1.1377311702e-05 -0.0295258730905 -6 6
